,normalized,meaning
15,яблоня,яблоня\n1. хIахъахIа́ [яблоня  культурная (в противоп. дикой)]\n2. чIва́цIла [яблоня  (дерево)]яблоня\n1. а-ацва-цла (абх.) Уапшы чIваMalus Miller.\n2. а-ацва (абх.)Malus Miller.[яблоня (плод яблони)]\n3. бначIваMalus silvestris Mill.[яблоня лесная]\n4. бначIваMalus silvestris Mill.[яблоня лесная (плод яблони лесной)]\n5. бначIвасагIаMalus pumila Mill.[яблоня низкорослая]\n6. бначIвацIла Уапшы бначIваMalus silvestris Mill.[яблоня лесная (дикая)]\n7. чIваMalus demestica Borkh.[яблоня домашняя]\n8. чIва Уапшы чIваMalus demestica Borkh L.[яблоня домашняя (плод яблони домашней)]\n9. чIвахъыхIа Уапшы чIваMalus demestica Borkh.[яблоня домашняя]\n10. чIвацIлагIва\n11. чIвацIла Уапшы чIваMalus demestica Borkh L.[яблоня домашняя]\n12. чIвацIлахвыц Уапшы бначIвасагIаMalus pumila Mill.[яблоня низкорослая]
17,дюшеснея,дюшеснея\n1. а-ацыцындра (абх.)Duchesnea indica (Andrews) Focke.[дюшеснея индийская]
18,портулак,портулак\n1. адгьылпкъына Уапшы тшыбгъахъвшвPortulaca oleracea L.[портулак огородный]\n2. а-бадр-йабач (абх.)Portulaca oleracea L.[портулак огородный]\n3. пкъыхьхъвшвыPortulaca L.\n4. пкъыухъвшв Уапшы тшыбгъахъвшPortulaca oleracea L.[портулак огородный]\n5. тшыбгъахъвшвPortulaca oleracea L.[портулак огородный]\n6. тшбгъахьвшвы Уапшы тшыбгъахъвшвPortulaca oleracea L.[портулак огородный]
20,мушмула,мушмула\n1. а-бацв (абх.)Mespilus germanica L.[мушмула германская]\n2. къвышвхIамышхEryobotrya japonica Lindl.[мушмула японская]
21,кизил,"кизил\n1. зары́ [кизил  (плоды)]\n2. зары́цIла [кизил  (дерево)]кизил\n1. а-бгызыр (абх.) Уапшы зарыCornus mas L.[кизил обыкновенный]\n2. а-бгызыр (абх.) Уапшы зарыCornus mas L.[кизил мужской]\n3. зарыCornus mas L.[кизил обыкновенный, мужской]\n4. зары Уапшы зарыCornus mas L.[кизил обыкновенный, мужской (плод кизила обыкновенного, мужского)]\n5. зарыцIла Уапшы зарыCornus mas L.[кизил обыкновенный, мужской]\n6. заркыб Уапшы зарыCornus mas L.[кизил обыкновенный, мужской]"
22,горец,"горец\n1. щхъабза́загIвгорец\n1. а-бжарца (абх.)Polygonum persicaria L.[горец почечуйный]\n2. гIвагванахIвра Уапшы къазхIвраPolygonum aviculare L.[горец птичий]\n3. дзарлашв Уапшы тшшIысхъвшвыPolygonum bistorta L.[горец змеиный]\n4. дзарлашвпшдза Уапшы тшшIысхъвшвыPolygonum bistorta L.[горец змеиный]\n5. дзыхIврапшдза Уапшы а-бжарца (абх.)Polygonum persicaria L.[горец почечуйный]\n6. дзычыбджьPolygonum hydropiper L.[горец перечный]\n7. къазхIвраPolygonum aviculare L.[горец птичий]\n8. мгIватшпыхIвра Уапшы къазхIвраPolygonum aviculare L.[горец птичий]\n9. мгIвахIвра Уапшы къазхIвраPolygonum aviculare L.[горец птичий]\n10. пигIамбархIвра Уапшы а-бжарца (абх.)Polygonum persicaria L.[горец почечуйный]\n11. тшшIысхъвшвыPolygonum bistorta L.[горец змеиный]\n12. хъахьхIвраPolygonum hydropiper L.[горец перечный]\n13. хIвраларххыPolygonum convolvulus L.\n14. а-шхардац (абх.)Polygonum carneum C. Koch.[горец мясокрасный]\n15. шымраPolygonum L.\n16. щашIарысгаPolygonum aviculare L.[горец птичий]\n17. щхъахIврачвкъьаPolygonum alpium All.[горец горный, альпийский]"
23,азалия,азалия\n1. а-бжьынцIыAzalea pontica L.[азалия желтая]
24,айва,айва\n1. айва *(заимствовано из русского)Cydonia oblonga Mill.[айва обыкновенная (плод айвы обыкновенной)]\n2. айва *(заимствовано из русского)Cydonia oblonga Mill.[айва обыкновенная]\n3. айуа *(заимствовано из русского)Cydonia oblonga Mill.[айва обыкновенная]\n4. айвацIла *(заимствовано из русского) Уапшы айуаCydonia oblonga Mill.[айва обыкновенная]\n5. апхазтIама Уапшы айуаCydonia oblonga Mill.[айва обыкновенная (плод айвы обыкновенной)]\n6. апхазтIама Уапшы айуаCydonia oblonga Mill.[айва обыкновенная]\n7. а-биа (абх.)Cydonia oblonga Mill.[айва обыкновенная]
25,мята,мята\n1. а-бнарахана (абх.)Mentha L.\n2. згIваъажвхIвра Уапшы тшыхIвраMentha logifolia (L.) Huds.[мята длиннолистная]\n3. къарчачайMentha aguatica L.[мята водяная]\n4. къаракъвырачайMentha arvensis L.[мята полевая]\n5. къвырачай Уапшы къаракъвырачайMentha arvensis L.[мята полевая]\n6. кIважвамачв Уапшы тшыхIвраMentha longifolia (L.) Huds.[мята длиннолистная]\n7. кIважватлапIа Уапшы тшыхIвраMentha longifolia (L.) Huds.[мята длиннолистная]\n8. пшацIыршва Уапшы тшыхIвраMentha logifolia (L.) Huds.[мята длиннолистная]\n9. тшыхIвраMentha longifolia (L.) Huds.[мята длиннолистная]\n10. швараххIвра Уапшы тшыхIвраMentha longifolia (L.) Huds.[мята длиннолистная]
26,слива,слива\n1. хIваса́ [слива  (дерево и плоды)]слива\n1. а-бхэа (абх.) Уапшы хIвасаPrynus domestica L.[слива домашняя]\n2. гвагван Уапшы дзхIвыPrunus spinosa L.[слива колючая (труднопроходимые заросли сливы колючей)]\n3. дзхIвыPrunus spinosa L.[слива колючая]\n4. дзхIвыPrunus spinosa L.[слива колючая (плод сливы колючей)]\n5. дзхIвымыгъ Уапшы дзхIвыPrunus spinosa L.[слива колючая]\n6. дзыхIв Уапшы дзхIвыPrunus L.[слива колючая]\n7. дзыхIв Уапшы дзхIвыPrunus spinosa L.[слива колючая (плод сливы колючей)]\n8. дзыхIвыцIла Уапшы дзхIвыPrunus spinosa L.[слива колючая]\n9. къымдза Уапшы хIвасаPrunus domestica L.[слива домашняя]\n10. ладзхIвы Уапшы дзхIвыPrunus spinosa L.[слива колючая]\n11. пыжвбана Уапшы дзхIвыPrunus spinosa L.[слива колючая]\n12. пыжвмгъы Уапшы пыжвбанаPrunus spinosa L.[слива колючая]\n13. хIвасаPrunus domestica L.[слива домашняя]\n14. хIвасаPrunus domestica L.[слива домашняя (плод сливы домашней)]\n15. хIвасаквайчIваPrunus domestica L.[слива домашняя]\n16. хIвасацIла Уапшы хIвасаPrunus domestica L.[слива домашняя]\n17. хIвасачIвры Уапшы хIвасаPrunus domestica L.[слива домашняя]\n18. чарнослива *(заимствовано из русского) Уапшы хIвасаPrunus domestica L.[слива домашняя]
27,орешник,орешник\n1. кIакIа́н\n2. раса́цIлаорешник\n1. бнараса Уапшы расаCorylos ovellana.\n2. бнарасаCorylos ovellana L.[орешник обыкновенный (плод орешника обыкновенного)]\n3. а-бынраса (абх.) Уапшы расаCorylus avellana L.\n4. расаCorylus avellana L.\n5. а-расатара (абх.) Уапшы расаCorylus avellana L.\n6. расахвыц Уапшы расаCorylus avellana L.\n7. расацIла Уапшы расаCorylus avellana L.
28,роза,роза\n1. а-гуил (абх.) Уапшы лагвырчIвымыгъRosa L.\n2. а-гьыл (абх.) Уапшы лагвырчIвымыгъRosa L.\n3. лагвырчIвымыгъRosa L.\n4. а-лахкцвымх (абх.)Rosa L.\n5. лахъвымгъ Уапшы лагвырчIвымыгъRosa L.\n6. чкъвылтыр Уапшы лагвырчIвымыгъRosa L.
29,тополь,"тополь\n1. псы́гътополь\n1. агътIаPopulus L.\n2. агътIаквайчIваPopulus nigra L.[тополь черный]\n3. агътIацIла Уапшы агътIаPopulus L.\n4. агътIашкIвокIваPopulus alba L.[тополь белолистка]\n5. агътIацIлашкIвокIва Уапшы агътIашкIвокIваPopulus alba L.[тополь белый, серебристый]\n6. бгъькIьазыз Уапшы агъьтIашкIвокIваPopulus alba L.[тополь белый, серебристый]\n7. а-гш (абх.)Populus L.\n8. гIвнапсыгъ Уапшы агътIаPopulus L.\n9. а-мшвха (абх.)Populus nigra L.[тополь черный]\n10. мшIытIатIа Уапшы агътIаквайчIваPopulus nigra L.[тополь черный]\n11. мшIытIатIа Уапшы псыгъPopulus tremula L.[тополь трепещущий]\n12. псыгъPopulus tremula L.[тополь трепещущий]\n13. псыгъцIла Уапшы псыгъPopulus tremula L.[тополь трепещущий]\n14. а-цлаш (абх.) Уапшы псыгъPopulus L."
31,зимовник,зимовник\n1. гънкъагIаHelleborus caucasicus A. Br.[зимовник кавказский]\n2. а-джаква (абх.)Helleborus caucasicus A. Br.[зимовник кавказский]
32,лаконос,лаконос\n1. а-джампаз (абх.)Phytolacca americana L.[лаконос американский]
33,наперстянка,наперстянка\n1. а-дзизва (абх.)Digitalis schischkinii Jvanina.[наперстянка Шишкина]\n2. дзыжвгаDigitalis L.\n3. мачвхъаза Уапшы дзыжвгаDigitalis L.
34,фиалка,фиалка\n1. апхъагIайыраViola L.\n2. бнахIврапасаViola silvestris Lam.[фиалка лесная]\n3. быхъвхIврапасаViola oreades Bieb.[фиалка скальная]\n4. джьалымхIаViola arvensis Murr.[фиалка полевая]\n5. а-дзыкрын (абх.) Уапшы апхъагIайыраViola L.\n6. пасакъагIа Уапшы апхъагIайыраViola L.\n7. пкъыдамц Уапшы апхъагIайыраViola L.\n8. рхъахIврапасаViola arvensis Murr.[фиалка полевая]\n9. рхъацыцаHesperis matronalis.[фиалка ночная]\n10. уахъынлахIвраHesperis matronalis L.[фиалка ночная]\n11. хIврапасаViola L.\n12. а-цэфзфсф (абх.) Уапшы апхъагIайыраViola L.
35,щавель,"щавель\n1. быгъьчIвчIвы́ (диалект: ащхъарауа)\n2. цыцара́нчIвщавель\n1. бгъьычвкъьа Уапшы царанчIвыRumex acetosa L.[щавель кислый]\n2. быгъьчвчIвы Уапшы цыцаранчIвRumex L.\n3. гIвнацаранчIвRumex domesticum Hartm.[щавель домашний]\n4. а-дырзы (абх.)Rumex alpinus L.[щавель альпийский]\n5. а-дырзы (абх.) Уапшы тшыцаранчIвRumex crispus L.[щавель конский]\n6. а-дырзы (абх.) Уапшы тшыцаранчIвRumex crispus L.[щавель курчавый]\n7. а-жамрахушь (абх.)Rumex obtusifolius L.[щавель туполистный]\n8. саранчIвы Уапшы царанчIвыRumex acetosa L.[щавель кислый]\n9. тшыцаранчIвRumex confertus Willd.[щавель конский]\n10. царанчIвыRumex acetosa L.[щавель кислый]\n11. цыцаранчIвRumex acetosa L.[щавель обыкновенный, кислый]\n12. цыцаранчIвбабаRumex crispus L.[щавель курчавый]\n13. цыцаранчIвпшдзаRumex pulcher L.[щавель красивый]\n14. цыцаранчIвщайдзадуRumex thyrsiflorus L.[щавель пирамидальный, кистецветный]\n15. щхъацаранчIвRumex alpinus L.[щавель альпийский]"
40,горох,горох\n1. кIыркIла́шгорох\n1. аджьаркъвыд Уапшы кIыркIылашCicer arietinum L.[горох турецкий]\n2. а-жьаркуыд (абх.) Уапшы трыквкъвыдCicer arietinum L.[горох турецкий]\n3. а-карклаш (абх.)Cicer arietinum L.[горох турецкий]\n4. а-кырклыш (абх.)Cicer arietinum L.[горох турецкий]\n5. кIыркIылашPisum arvense L.[горох кормовой]\n6. кIыркIлашPisum sativum L.[горох посевной]\n7. кIыркIлашхIагIаPisum elatius Bieb.[горох высокий]\n8. рхъакIыркIлашPisum arvense L.[горох полевой]\n9. уасакIыркIылаш Уапшы къакъийCicer arietinum L.[горох турецкий]
41,цикорий,цикорий\n1. ажьархIаскIьын (абх.) Уапшы мыдахCichorium intybus L.[цикорий обыкновенный]\n2. а-жьархаскьын (абх.)Cichorium intybus L.[цикорий обыкновенный]\n3. къындзатумачIыхв Уапшы мыдахCichorium intybus L.[цикорий обыкновенный]\n4. мыдахCichorium intybus L.[цикорий обыкновенный]
43,смородина,смородина\n1. махъы́р (диалект: ащхъарауа)махъыр квайчIвачёрная смородинамахъыр къапщыкрасная смородинасмородина\n1. а-жьынцэры (абх.)Ribes L.\n2. махъырRibes L.[смородина (плод смородины)]\n3. санаRibes L.\n4. санаквайчIваRibes nigrum L.[смородина черная]\n5. санакъапщыRibes rubrum L.[смородина красная]\n6. сана цырцырRibes aureum Pursh.[смородина золотистая]\n7. щхъасанаRibes alpium L.[смородина альпийская]
44,можжевельник,можжевельник\n1. дзхIвымцJuniperus communus L.[можжевельник обыкновенный]\n2. дзыхIвыJuniperus sabina L.[можжевельник казацкий]\n3. а-жэыргы (абх.)Juniperus L.\n4. нартсагIаLuniperus depressa Stev.[можжевельник низкорослый]\n5. щхайJuniperus L.\n6. щхъанаратJuniperus sabina L.[можжевельник казацкий]
45,подсолнечник,"подсолнечник\n1. а-заракьа (абх.)Helianthus annuus L.\n2. марацхъынхIв Уапшы семчкIаHelianthus annuus L.\n3. маращтахьпш Уапшы семчкIаHelianthus annuus L.\n4. сахвран Уапшы семчкIаHelianthus annuus L.\n5. семчкIа *(заимствовано из русского)Helianthus annuus L.\n6. семчкIа *(заимствовано из русского)Helianthus annuus L.[подсолнечник (плоды подсолнечника)]\n7. семычкIахъа *(заимствовано из русского)Helianthus annuus L.[подсолнечник (соцветие подсолнечника, корзинка)]\n8. семычкIа *(заимствовано из русского) Уапшы семчкIаHelianthus annuus L.[подсолнечник (плоды подсолнечника)]\n9. семычкIа *(заимствовано из русского) Уапшы семчкIаHelianthus annuus L."
46,орех,"орех\n1. гъьаса́ [орех  кедровый]\n2. кIакIа́н\n3. раса́бна расалесной (дикий) орех, фундукгыр расагрецкий орех (дерево и плод)амшв чан расагвыкI ачвыгIанхатIпогов. от еды медведя остался один орешек (о тех, кто из ложно понимаемого приличия не доедает подаваемое на стол)орех\n1. адгьылрасаArachis hupogala L.[орех земляной]\n2. адгьылрасаArachis hupogala L.[орех китайский]\n3. адгьылрасадза Уапшы адгьылрасаArachis hupogala L.[орех земляной]\n4. адгьылрасадза Уапшы адгьылрасаArachis hupogala L.[орех китайский]\n5. гыррасаJuglans regia L.[орех грецкий]\n6. гыррасаJuglans regia L.[орех грецкий (плод грецкого ореха)]\n7. гыррасаквайчIваJuglans nigra L.[орех черный]\n8. гыррасачвышJuglans cinerea L.[орех серый]\n9. а-какан (абх.)Juglans regia L.[орех грецкий]\n10. кIакIан Уапшы гыррасаJuglans regia L.[орех грецкий]\n11. кIакIанJuglans regia L.[орех грецкий (плод грецкого ореха)]\n12. кIакIанквайчIва Уапшы гыррасаквайчIваJuglans nigra L.[орех черный]\n13. кIакIанчвыш Уапшы гыррасачвышJuglans cineria L.[орех серый]\n14. расаCorylus avellana L.[орех обыкновенный (плод ореха обыкновенного)]\n15. расаду Уапшы гыррасаJuglans regia L.[орех грецкий (плод ореха грецкого)]\n16. расаду Уапшы гыррасаJuglans regia L.[орех грецкий]\n17. расахвыцCorylus avellana L.[орех обыкновенный (плод орешника)]\n18. чилим *(заимствовано из русского)Trapa L.[орех водяной]\n19. шитанрасаTrapa natans L.[орех водяной плавающий]"
47,гриб,гриб\n1. напIры́пхтга (диалект: ащхъарауа)йфа йауа напIрыпхтгасъедобный гриб\n2. хъва́рпгриб\n1. ккIвуба (шкар.)\n2. а-какубаа (абх.)\n3. щхъатоп
48,бамбук,бамбук\n1. бамбук *(заимствовано из русского) Уапшы калам (абх.)Bambusa Schred.\n2. а-калам (абх.)Bambusa Schred.\n3. къамышхIагIаBambusa Schred.\n4. шамбыр Уапшы къамышхIагIаBambusa Schred.
49,укроп,укроп\n1. къва́нукроп\n1. а-кама (абх.)Anethum graveolens L.[укроп пахучий]\n2. а-кама (абх.)Anethum graveolens L.[укроп огородный]\n3. къванAnethum graveolens L.[укроп пахучий]\n4. къванAnethum graveolens L.[укроп огородный]\n5. нашалацIаAnethum graveolens L.\n6. цIгIаралацIа Уапшы къванAnethum graveolens L.[укроп огородный]\n7. цIгIаралацIа Уапшы къванAnethum graveolens L.[укроп пахучий]
51,арбуз,арбуз\n1. харбы́згIвхарбызкI напIыкIла йгьузыкIрымпосл. два арбуза одной рукой не удержишьарбуз\n1. а-карпыжэ (абх.)Citrullus vulgaris Schrad.[арбуз обыкновенный]\n2. рахвхырбызCitrullus pasteca Sageret.[арбуз кормовой]\n3. хырбызCitruelus vulgaris Schrad.[арбуз обыкновенный]\n4. хырбызCitruelus vulgaris Schrad.[арбуз обыкновенный (ложный плод арбуза обыкновенного)]\n5. хырбызгвыCitruelus vulgaris Schrad.[арбуз обыкновенный (семена арбуза обыкновенного)]\n6. хырбызсыха Уапшы хырбызCitruelus vulgaris Schrad.[арбуз (сорт арбуза)]
52,картофель,картофель\n1. кIартIо́ф *(заимствовано из русского)картофель\n1. а-картош *(заимствовано из русского) (абх.)Solanum tuberosus L.\n2. кIартIоф *(заимствовано из русского)Solanum tuberosum L.
53,барбарис,барбарис\n1. барбари́с *(заимствовано из русского) [барбарис  (ягоды и растение)]\n2. къатгIан-сольы́къв [барбарис  (ягоды и кустарник)]барбарис\n1. барбарис *(заимствовано из русского) Уапшы къатгIансольыкъвBerberis L.\n2. барбарис *(заимствовано из русского) Уапшы къатгIансольыкъвBerberis L.[барбарис (плод барбариса)]\n3. барбарисмыгъ *(заимствовано из русского) Уапшы мыгъквайчIваBerberis L.\n4. а-кацахуыр (абх.)Berberis L.\n5. кыбалайы Уапшы мыгъквайчIваBerberis L.\n6. къатгIансольыкъвBerberis L.\n7. мыгъквайчIваBerberis vulgaris L.[барбарис обыкновенный]\n8. мыгъквайчIваBerberis vulgaris L.[барбарис обыкновенный (плод барбариса обыкновенного)]
54,жестер,жестер\n1. дзхIвымцыRhamnus pallasii Fisch. et Mey L.[жестер Палласа]\n2. а-киркуц (абх.)Rhamnus microcarpa Boiss.[жестер мелкоплодный]\n3. чыбар Уапшы шамкьашвыгаRhamnus cathartica L.[жестер слабительный]\n4. шамкьашвыгаRhamnus cathartica L.[жестер слабительный]\n5. шыга Уапшы швыгаRhamnus cathartica L.[жестер слабительный]\n6. щхъадзыхIвыRhamnus microcarpa Boiss (Rh. cordata medw.).[жестер мелкоплодный]
55,лен,лен\n1. гьатанLinum L.\n2. гьатанLinum usitatissimum L.[лен культурный]\n3. а-куны (абх.)Linum L.[лен (дикие виды)]\n4. кьатан Уапшы гьатанLinum L.\n5. пкъыпшдза Уапшы гьатанLinum L.
56,груша,"груша\n1. хIа́ II. [груша  (плод)]хIацIлагруша (дерево)бна хIадикая грушахIа бгIакI хIашвкI арбгIитIпосл. одна гнилая груша сгноит сто [хороших] груш\n2. хIампа́ [груша  неспелая (зелёная)]груша\n1. адгьылхIа Уапшы шIрыкIваHelianthus tuberosus L.[груша земляная]\n2. бнахIаPyrus caucasica Fed.[груша кавказская (плод груши кавказской)]\n3. бнахIаPyrus caucasica An. Fed.[груша кавказская]\n4. бнахIацIла Уапшы бнахIаPyrus caucasica An. Fed.[груша кавказская]\n5. а-купсха (абх.)Pyrus communis L.[груша обыкновенная (сорт груши обыкновенной)]\n6. кIартIоф *(заимствовано из русского) Уапшы шIрыкIваHelianthus tuberosus L.[груша земляная]\n7. а-ха (абх.) Уапшы бнахIаPyrus L.\n8. хIаPyrus communis L.[груша обыкновенная]\n9. хIаPyrus communis L.[груша обыкновенная (плоды груши обыкновенной)]\n10. хIакьымPyrus caucasica An. Fed.[груша кавказская]\n11. хIакьымPyrus caucasica An. Fed.[груша кавказская (плод груши кавказской)]\n12. хIакьымцIла Уапшы хIакьымPyrus caucasica Fed.[груша кавказская]\n13. хIахъыхIа Уапшы бнахIаPyrus caucasica An. Fed.[груша лесная кавказская (разновидность лесной груши кавказской)]\n14. хIацIла Уапшы хIаPyrus communis L.[груша обыкновенная]\n15. хIачIвы\n16. хIашIы\n17. хIашIыцIла Уапшы хIа\n18. цIисхIаPyrus caucasica An. Fed.[груша кавказская (мелкие плоды, разновидности груши кавказской)]\n19. цIисхIа Уапшы бнахIаPyrus caucasica Fed.[груша кавказская]\n20. чIврыкIва Уапшы шIрыкIваHelianthus tuberosus L.[груша земляная]"
